"","author","afr","alb","ara","arm","aze","baq","bas","bel","ben","bnt","bos","bre","bul","cat","chi","cze","dan","dsb","dut","eng","epo","est","fao","fin","fre","fry","geo","ger","gla","gle","glg","gre","gsw","heb","hin","hrv","hsb","hun","ice","ind","ita","jpn","kaz","kir","kor","kur","lat","lav","lit","ltz","mac","mal","may","mlg","mlt","mon","mul","nds","nno","nor","oci","per","pol","por","roh","rum","rus","sin","slo","slv","spa","srp","swa","swe","tha","tir","tur","ukr","und","urd","vie","wel","wen","wln","xxx","yid","na_count"
"1","Konsalik,HeinzG.",15,0,0,0,0,0,0,0,0,0,0,0,5,0,13,22,6,0,126,0,0,1,0,2,43,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,16,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,1,6,50,0,0,4,0,5,13,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62
"2","Steiner,Rudolf",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,4,6,0,0,4,4,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"3","Svatek,KurtF.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"4","Andersch,Alfred",0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,2,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72
"5","Bodrožić,Marica",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"6","Böll,Heinrich",0,3,4,0,1,0,1,1,0,0,0,0,15,3,7,6,2,0,8,41,0,6,0,5,15,0,2,2,0,0,2,9,0,10,0,3,0,7,1,0,21,1,0,0,3,0,0,4,4,0,2,0,0,0,0,0,0,0,0,2,0,12,6,10,0,6,19,0,2,3,30,3,0,5,0,0,15,2,0,1,1,0,0,0,0,0,42
"7","Braun,HansMartin",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
"8","Büchner,Barbara",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"9","Büchner,Georg",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,3,9,1,0,0,0,13,0,1,3,0,0,0,3,0,1,1,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63
"10","Celan,Paul",0,1,1,0,0,1,0,0,0,0,0,0,1,3,1,2,2,0,3,12,0,1,0,1,7,0,0,27,0,0,0,2,0,2,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,3,0,1,2,7,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,56
"11","Chamisso,Adelbertvon",0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70
"12","Dürrenmatt,Friedrich",0,4,4,0,0,2,0,0,0,0,0,0,6,3,3,11,3,0,6,12,0,1,1,3,23,0,0,3,0,0,0,7,0,2,0,3,0,8,0,1,36,3,0,0,3,0,0,1,4,0,2,0,0,0,0,0,0,0,0,5,0,6,8,6,3,7,9,0,3,5,21,0,0,2,0,0,10,2,0,0,0,1,0,0,0,0,46
"13","Ebert,Sabine",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
"14","Enzensberger,HansMagnus",0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,4,4,0,6,9,0,2,0,2,6,0,0,10,0,0,0,3,0,1,1,2,0,0,0,0,8,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,2,3,0,1,1,16,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,55
"15","Fallada,Hans",0,1,0,0,2,0,0,0,0,0,0,0,1,6,0,4,2,0,6,21,0,0,0,2,10,0,0,0,0,0,0,3,0,6,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,2,1,0,0,1,11,2,0,7,0,0,3,0,0,0,0,0,0,0,0,0,61
"16","Feuchtwanger,Lion",0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,20,0,0,3,0,0,2,0,0,9,0,0,2,0,0,0,0,0,3,0,0,0,4,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,31,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68
"17","Franck,Julia",0,1,0,1,0,0,0,0,0,0,0,0,1,1,4,2,3,0,7,7,0,2,0,1,4,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,2,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,58
"18","Frisch,Max",0,4,4,2,3,1,0,0,0,0,0,0,11,3,3,5,2,0,5,11,0,2,0,1,13,0,4,1,0,1,0,3,0,0,1,1,0,1,2,0,10,0,0,0,2,0,0,4,4,0,1,0,0,0,0,0,0,0,0,3,0,1,10,2,2,5,9,0,1,5,15,1,0,0,1,0,15,3,0,0,0,0,0,0,0,0,44
"19","Frischler,Kurt",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"20","George,Nina",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,6,6,0,1,0,3,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,0,0,0,1,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,61
"21","Goethe,JohannWolfgangvon",0,3,2,1,2,3,0,3,0,0,0,0,9,10,15,12,9,0,11,53,2,4,0,5,39,0,4,35,0,0,3,11,0,7,0,7,0,11,0,2,24,2,0,0,2,0,0,3,7,0,0,0,1,0,0,0,0,0,0,17,0,7,31,14,0,8,34,0,3,8,86,26,0,10,0,0,6,3,0,2,2,0,0,0,1,0,39
