"","from","to","weight"
"1","afr","bul",2
"2","afr","chi",1
"3","afr","cze",2
"4","afr","dan",2
"5","afr","dut",2
"6","afr","eng",2
"7","afr","epo",1
"8","afr","est",1
"9","afr","fin",2
"10","afr","fre",2
"11","afr","ger",2
"12","afr","hrv",1
"13","afr","hun",2
"14","afr","ita",2
"15","afr","jpn",1
"16","afr","lav",1
"17","afr","lit",1
"18","afr","mon",1
"19","afr","nor",2
"20","afr","per",1
"21","afr","pol",1
"22","afr","por",3
"23","afr","rum",1
"24","afr","rus",2
"25","afr","slo",1
"26","afr","slv",1
"27","afr","spa",1
"28","afr","srp",1
"29","afr","vie",1
"30","alb","ara",19
"31","alb","arm",9
"32","alb","aze",12
"33","alb","baq",18
"34","alb","bas",1
"35","alb","bel",10
"36","alb","bos",7
"37","alb","bre",3
"38","alb","bul",43
"39","alb","cat",34
"40","alb","chi",30
"41","alb","cze",43
"42","alb","dan",33
"43","alb","dut",45
"44","alb","eng",43
"45","alb","epo",7
"46","alb","est",32
"47","alb","fao",3
"48","alb","fin",33
"49","alb","fre",49
"50","alb","fry",1
"51","alb","geo",17
"52","alb","ger",27
"53","alb","gle",1
"54","alb","glg",12
"55","alb","gre",39
"56","alb","heb",29
"57","alb","hin",6
"58","alb","hrv",31
"59","alb","hun",38
"60","alb","ice",13
"61","alb","ind",8
"62","alb","ita",47
"63","alb","jpn",23
"64","alb","kor",19
"65","alb","kur",1
"66","alb","lat",4
"67","alb","lav",28
"68","alb","lit",34
"69","alb","mac",19
"70","alb","mal",1
"71","alb","may",2
"72","alb","mon",4
"73","alb","nno",1
"74","alb","nor",35
"75","alb","oci",1
"76","alb","per",20
"77","alb","pol",40
"78","alb","por",38
"79","alb","roh",3
"80","alb","rum",32
"81","alb","rus",38
"82","alb","sin",1
"83","alb","slo",28
"84","alb","slv",35
"85","alb","spa",45
"86","alb","srp",36
"87","alb","swe",37
"88","alb","tha",3
"89","alb","tur",36
"90","alb","ukr",22
"91","alb","urd",3
"92","alb","vie",13
"93","alb","wel",1
"94","alb","xxx",1
"95","ara","arm",9
"96","ara","aze",11
"97","ara","baq",17
"98","ara","bas",1
"99","ara","bel",9
"100","ara","ben",1
"101","ara","bos",7
"102","ara","bre",3
"103","ara","bul",42
"104","ara","cat",31
"105","ara","chi",33
"106","ara","cze",45
"107","ara","dan",39
"108","ara","dut",56
"109","ara","eng",55
"110","ara","epo",4
"111","ara","est",31
"112","ara","fao",2
"113","ara","fin",29
"114","ara","fre",58
"115","ara","fry",1
"116","ara","geo",16
"117","ara","ger",35
"118","ara","gla",1
"119","ara","gle",1
"120","ara","glg",12
"121","ara","gre",41
"122","ara","heb",26
"123","ara","hin",5
"124","ara","hrv",37
"125","ara","hun",43
"126","ara","ice",9
"127","ara","ind",5
"128","ara","ita",60
"129","ara","jpn",25
"130","ara","kor",25
"131","ara","kur",2
"132","ara","lat",2
"133","ara","lav",19
"134","ara","lit",29
"135","ara","ltz",1
"136","ara","mac",20
"137","ara","mal",1
"138","ara","may",3
"139","ara","mon",2
"140","ara","nds",1
"141","ara","nno",1
"142","ara","nor",40
"143","ara","per",21
"144","ara","pol",47
"145","ara","por",38
"146","ara","roh",3
"147","ara","rum",30
"148","ara","rus",46
"149","ara","sin",1
"150","ara","slo",28
"151","ara","slv",40
"152","ara","spa",53
"153","ara","srp",40
"154","ara","swe",39
"155","ara","tha",2
"156","ara","tur",40
"157","ara","ukr",21
"158","ara","urd",3
"159","ara","vie",9
"160","ara","wel",2
"161","ara","xxx",2
"162","arm","aze",6
"163","arm","baq",10
"164","arm","bel",5
"165","arm","bnt",1
"166","arm","bos",2
"167","arm","bul",15
"168","arm","cat",14
"169","arm","chi",11
"170","arm","cze",14
"171","arm","dan",15
"172","arm","dut",15
"173","arm","eng",17
"174","arm","epo",4
"175","arm","est",14
"176","arm","fao",1
"177","arm","fin",11
"178","arm","fre",17
"179","arm","fry",1
"180","arm","geo",8
"181","arm","ger",9
"182","arm","gle",1
"183","arm","glg",7
"184","arm","gre",13
"185","arm","heb",9
"186","arm","hin",3
"187","arm","hrv",12
"188","arm","hun",17
"189","arm","ice",5
"190","arm","ind",4
"191","arm","ita",17
"192","arm","jpn",9
"193","arm","kor",9
"194","arm","kur",1
"195","arm","lat",3
"196","arm","lav",10
"197","arm","lit",12
"198","arm","mac",9
"199","arm","mal",1
"200","arm","may",2
"201","arm","mon",2
"202","arm","nno",1
"203","arm","nor",13
"204","arm","per",10
"205","arm","pol",16
"206","arm","por",13
"207","arm","roh",2
"208","arm","rum",12
"209","arm","rus",14
"210","arm","sin",1
"211","arm","slo",13
"212","arm","slv",14
"213","arm","spa",17
"214","arm","srp",13
"215","arm","swa",1
"216","arm","swe",13
"217","arm","tha",3
"218","arm","tur",15
"219","arm","ukr",12
"220","arm","urd",1
"221","arm","vie",6
"222","arm","xxx",1
"223","aze","baq",10
"224","aze","bas",1
"225","aze","bel",7
"226","aze","ben",1
"227","aze","bos",3
"228","aze","bre",1
"229","aze","bul",14
"230","aze","cat",13
"231","aze","chi",9
"232","aze","cze",16
"233","aze","dan",13
"234","aze","dut",16
"235","aze","eng",16
"236","aze","epo",3
"237","aze","est",13
"238","aze","fao",1
"239","aze","fin",12
"240","aze","fre",17
"241","aze","geo",9
"242","aze","ger",9
"243","aze","gla",1
"244","aze","gle",1
"245","aze","glg",8
"246","aze","gre",14
"247","aze","heb",9
"248","aze","hin",3
"249","aze","hrv",13
"250","aze","hun",15
"251","aze","ice",6
"252","aze","ind",2
"253","aze","ita",17
"254","aze","jpn",11
"255","aze","kor",9
"256","aze","kur",2
"257","aze","lat",2
"258","aze","lav",11
"259","aze","lit",12
"260","aze","mac",8
"261","aze","mal",1
"262","aze","may",3
"263","aze","mon",1
"264","aze","nno",1
"265","aze","nor",13
"266","aze","oci",1
"267","aze","per",11
"268","aze","pol",17
"269","aze","por",15
"270","aze","roh",2
"271","aze","rum",13
"272","aze","rus",15
"273","aze","slo",12
"274","aze","slv",14
"275","aze","spa",17
"276","aze","srp",14
"277","aze","swa",1
"278","aze","swe",12
"279","aze","tha",2
"280","aze","tur",15
"281","aze","ukr",12
"282","aze","urd",3
"283","aze","vie",6
"284","aze","wel",1
"285","aze","xxx",1
"286","baq","bel",8
"287","baq","ben",1
"288","baq","bnt",1
"289","baq","bos",5
